Timestamp,Location,Day,Your initials,,Gender,Year,Financial Aid,Sports,Sexual Orientation,Race,Concentration,First gen,Domestic/Intl,Greek,Q1 Paxson,Q2 Political Fiscal,Q3 Political Fiscal,Q4 Political Comfort,Q5 Alcohol,Q6 Phi Psi,Q7 Sigma,Q8 Inadequacy,Q9 Grad Student Roles,Q10 GS experience,Q11 Lecture laptop,Q12 Lyft/Uber,Notes
3/3/2015 15:14:42,JWW front,Day 1,SB,,Female,Sophomore,"Grants, covering some costs",Yes,Hetero,White,Physical sciences,No,Domestic,Yes,No opinion,Somewhat cons,Very lib,Very comfortable,Strongly disapprove,Yes,"No, they were too harsh","No, I do not feel inadequate relative to other Brown students",I have had grad students as teaching assistants,Very positive,I do not use my laptop in class,Once a week,
3/3/2015 15:18:13,JWW front,Day 1,SB,,Male,Junior,None,No,Hetero,Asian,Life sciences,Yes,Domestic,No,No opinion,Somewhat cons,Somewhat liberal,Somewhat uncomfortable,Somewhat disapprove,"No, they were too harsh",Yes,"Yes, about my social life","I have had grad students as teaching assistants, I have interacted with grad students while doing research, I have taken a course taught by a grad student, Grad students have been mentors (formal or informal) to me",Very positive,'30 minutes',Once a month,
3/3/2015 15:21:14,JWW front,Day 1,SB,,Female,Sophomore,"Grants, covering some costs",No,Hetero,Asian,Physical sciences,No,Domestic,No,No opinion,Somewhat liberal,Somewhat liberal,No opinion,Not familiar enough to answer,No opinion,Not familiar enough to answer,"No, I do not feel inadequate relative to other Brown students","I have had grad students as teaching assistants, I have taken a course taught by a grad student, Grad students have been mentors (formal or informal) to me",Somewhat positive,'10 minutes',Never,
3/3/2015 15:24:03,JWW front,Day 1,SB,,Female,Sophomore,Grants and loans,No,Hetero,Black,Life sciences,No,Domestic,No,Somewhat approve,Very lib,Very lib,Somewhat comfortable,Somewhat disapprove,Yes,Yes,"Yes, about my academic ability, Yes, about my social life, Yes, about something not listed above",I have had grad students as teaching assistants,Somewhat positive,I do not use my laptop in class,Never,
3/3/2015 15:26:01,JWW front,Day 1,SB,,Male,First-year,Just loans,No,Gay,White,Humanities/arts,No,Domestic,No,No opinion,Somewhat liberal,Very lib,Very comfortable,Not familiar enough to answer,Not familiar enough to answer,Not familiar enough to answer,"Yes, about my sex/love life, Yes, about my appearance, Yes, about my socioeconomic status","I have had grad students as teaching assistants, I have taken a course taught by a grad student",Neutral,'30 minutes',Once a week,
3/3/2015 15:30:17,JWW front,Day 1,SB,,Male,Junior,None,No,Hetero,"White, Asian","Social sciences, Life sciences",No,Domestic,No,Somewhat disapprove,Somewhat liberal,,Very comfortable,Strongly disapprove,"No, they were too harsh",Not familiar enough to answer,"No, I do not feel inadequate relative to other Brown students",I have had grad students as teaching assistants,Very positive,I do not use my laptop in class,Multiple times a week,
3/3/2015 15:32:42,JWW front,Day 1,SB,,Female,Junior,None,No,Hetero,White,Life sciences,No,Domestic,No,Somewhat disapprove,Centrist,Very lib,Somewhat comfortable,Somewhat disapprove,"No, they were too harsh",Not familiar enough to answer,"No, I do not feel inadequate relative to other Brown students","I have had grad students as teaching assistants, I have taken a course taught by a grad student",Very positive,'10 minutes',Once a week,
3/3/2015 15:35:22,JWW front,Day 1,SB,,Male,First-year,None,No,Hetero,Asian,Physical sciences,No,Domestic,No,No opinion,Somewhat liberal,Somewhat liberal,Somewhat comfortable,Somewhat disapprove,No opinion,No opinion,"Yes, about my social life",I have interacted with grad students while doing research,Very positive,'20 minutes',Never,
3/3/2015 15:37:13,JWW front,Day 1,SB,,Male,Senior,Grants and loans,No,Gay,Hispanic,"Social sciences, Life sciences",No,Domestic,No,Somewhat disapprove,Somewhat liberal,Somewhat liberal,No opinion,Somewhat disapprove,Yes,Not familiar enough to answer,"Yes, about my appearance","I have had grad students as teaching assistants, I have interacted with grad students while doing research, I have taken a course taught by a grad student, Grad students have been mentors (formal or informal) to me",Somewhat positive,'10 minutes',Once a semester,
3/3/2015 15:40:51,JWW front,Day 1,SB,,Female,Junior,None,No,Hetero,White,Life sciences,No,Domestic,No,Somewhat approve,Centrist,Somewhat liberal,Very comfortable,Somewhat approve,Not familiar enough to answer,Not familiar enough to answer,"Yes, about my social life, Yes, about my sex/love life","I have had grad students as teaching assistants, I have interacted with grad students while doing research, I have taken a course taught by a grad student, Grad students have been mentors (formal or informal) to me, Other",Very positive,'0 minutes',Once a semester,
