Timestamp,Gender,Year,FinAid,Sports,Orientation,Race,Religion,Conc,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Notes,Location,Day,Initials
10/1/2013 12:58:56,Male,Senior,None,No,Heterosexual,"White, Other",Atheist,Social sciences,Somewhat agree,No opinion,No role,None of the above,Non-parental relatives' and friends' contributions,"Yes, I support converting some bathrooms",35-39,Three to five times a week,"No, and for that reason, I am not or do not plan to",I am aware of the plan but do not know enough to have an opinion,No opinion,,J. Walter Wilson: Side/Back Door,Day 2,KK
10/1/2013 13:00:23,Female,Junior,None,No,Heterosexual,White,Agnostic,Humanities/arts,Strongly agree,Somewhat approve,A small role,None of the above,"My parents' income and savings, My own income and savings, Non-parental relatives' and friends' contributions","Yes, I support converting some bathrooms",Not sure,Less than once a month,"Yes, but I am not or do not plan to",Somewhat disapprove,Strongly approve,,J. Walter Wilson: Side/Back Door,Day 2,KK
10/1/2013 13:02:09,Female,Senior,Grants and loans,No,Heterosexual,Other,Other Christian,Humanities/arts,Somewhat agree,No opinion,A small role,None of the above,"University grants and scholarships, Federal loans, My parents' income and savings","Yes, I support converting some bathrooms",30-34,,"No, but I am or plan to",Somewhat approve,Strongly approve,,J. Walter Wilson: Side/Back Door,Day 2,KK
10/1/2013 13:04:11,Male,Sophomore,None,No,Heterosexual,Other,Other Christian,,No opinion,No opinion,A small role,None of the above,Non-University grants and scholarships,"Yes, I support converting all bathrooms",25-29,Once a day,,Somewhat disapprove,Strongly approve,,J. Walter Wilson: Side/Back Door,Day 2,KK
10/1/2013 13:05:24,Female,First-year,None,No,Heterosexual,Black,Other Christian,Humanities/arts,Strongly disagree,No opinion,A small role,None of the above,My parents' income and savings,"Yes, I support converting some bathrooms",25-29,I have never masturbated,"No, and I would not have wanted to even if I felt more prepared",I have not heard of the strategic plan,I do not know what UCS is,,J. Walter Wilson: Side/Back Door,Day 2,KK
10/1/2013 13:06:36,Male,Junior,None,No,Heterosexual,White,Other Christian,Social sciences,Somewhat agree,Somewhat approve,A moderate role,None of the above,My parents' income and savings,"Yes, I support converting some bathrooms",25-29,Three to five times a week,"No, and I am not sure if I will",I am aware of the plan but do not know enough to have an opinion,No opinion,,J. Walter Wilson: Side/Back Door,Day 2,KK
10/1/2013 13:07:45,Male,Sophomore,Grants and loans,No,Heterosexual,Black,Protestant,Humanities/arts,Somewhat agree,No opinion,A moderate role,None of the above,"University grants and scholarships, Federal loans, My own income and savings, I borrow money from outside sources",Don't know,30-34,Once or twice a month,"No, and I am not sure if I will",I am aware of the plan but do not know enough to have an opinion,No opinion,,J. Walter Wilson: Side/Back Door,Day 2,KK
10/1/2013 13:08:52,Female,Senior,None,No,Heterosexual,Asian,Protestant,,,Strongly disapprove,A moderate role,None of the above,My parents' income and savings,"Yes, I support converting some bathrooms",25-29,I have never masturbated,"Yes, and I am or plan to",I have not heard of the strategic plan,No opinion,,J. Walter Wilson: Side/Back Door,Day 2,
10/1/2013 13:08:55,Male,Sophomore,None,No,Heterosexual,"White, Asian",Atheist,Life sciences,Somewhat agree,No opinion,A moderate role,None of the above,"My parents' income and savings, My own income and savings","Yes, I support converting some bathrooms",30-34,Three to five times a week,"Yes, and I am or plan to",I am aware of the plan but do not know enough to have an opinion,No opinion,,J. Walter Wilson: Front/Main Door,Day 2,sjm
10/1/2013 13:10:23,Female,Sophomore,None,Yes,Heterosexual,Asian,Buddhist,"Social sciences, Life sciences",No opinion,No opinion,A moderate role,None of the above,My parents' income and savings,"Yes, I support converting some bathrooms",,,"No, and I am not sure if I will",I have not heard of the strategic plan,Somewhat disapprove,,J. Walter Wilson: Side/Back Door,Day 2,KK
