Option,"Yes, and I am or plan to","Yes, but I am not or do not plan to","Yes, but I am not sure if I will","No, and I am not sure if I will","No, but I am or plan to","No, and for that reason, I am not or do not plan to","No, and I would not have wanted to even if I felt more prepared"
Protestant,34,27,6,5,19,11,12
Catholic,50,29,17,11,26,8,13
Other Christian,26,12,2,3,7,7,7
Jewish,38,33,6,3,10,6,15
Muslim,6,1,0,1,3,0,1
Hindu,8,6,1,0,1,0,0
Buddhist,12,3,6,1,1,0,2
Other religion,31,23,11,8,13,9,15
Agnostic,69,49,13,8,22,9,14
Atheist,61,51,20,10,11,11,21
